route,pair,k,total_n,fixed_z,q,c_val,tau2,pooled_z,se_z,pooled_r,ci_low,ci_high,i2
paper_a_trust6_mechanism,BI-EE,55,31868,0.6289498409969932,1644.9445143353503,30571.408068637036,0.05204027602403723,0.6032921051039415,0.03150581577917018,0.5393880129065131,0.49415333795716515,0.581710053152825,96.7172144999785
paper_a_trust6_mechanism,BI-PE,58,32804,0.7673156525527428,4743.828097863645,31521.286300950047,0.1486877170276641,0.7136611168429322,0.051075733044597074,0.6129674916930147,0.5466230861458384,0.6716644843771213,98.79843875401663
paper_a_trust6_mechanism,BI-SI,40,26675,0.6084460196835956,1642.5927395843053,25276.00143099228,0.06344329200812804,0.6166376045741447,0.040532737815124155,0.5487825966676931,0.49086056592109806,0.601874831185822,97.62570483479249
paper_a_trust6_mechanism,BI-TRU,13,13012,0.4710924889953332,714.7584776807414,11010.366761735913,0.06382698168811439,0.6262883149164803,0.07112575844428298,0.5554911388567032,0.4517380769200286,0.6444190774766361,98.32111120403387
paper_a_trust6_mechanism,BI-UB,32,22696,0.6975173984260831,1749.2014604352453,21208.14274336283,0.08101612108268948,0.7681691008752025,0.05101221537614008,0.6458635537092196,0.5837848155283706,0.7004345234006092,98.22776274196076
paper_a_trust6_mechanism,EE-PE,59,34076,0.6129496535705351,2241.5950424773478,32804.28573114251,0.06656432212466579,0.6035299336295945,0.03421286809614412,0.5395566261036465,0.49031330085630004,0.5853659799863337,97.41255673299938
paper_a_trust6_mechanism,EE-SI,34,24073,0.4483995293227801,1454.6900614754713,22618.300029201953,0.06285574334233611,0.4331247946682107,0.04370852866240766,0.4079294335318371,0.33411753641080716,0.47676830405581516,97.73147553049695
paper_a_trust6_mechanism,EE-TRU,11,12030,0.31583292740402696,468.48954817998344,9920.481620405102,0.046216460623941066,0.4880020175351582,0.06610071036574355,0.45262922080108997,0.3438432827096739,0.5494264630170392,97.86548066251454
paper_a_trust6_mechanism,EE-UB,31,22095,0.471010395609848,1008.9841771776155,20596.95945823107,0.04753051920905677,0.5392387862954036,0.04006147460980885,0.49241153996498166,0.4306694615945348,0.5495659807310691,97.02671254132869
paper_a_trust6_mechanism,PE-SI,36,24777,0.5591557466577425,2466.6364912240033,23343.341846041592,0.10416831091544607,0.49477218736763395,0.05434931209457736,0.45799583687115336,0.36984846082100603,0.5379717260738421,98.58106372282556
paper_a_trust6_mechanism,PE-TRU,13,12683,0.40465977280794624,318.50771086715315,10657.073394495414,0.028760964621438224,0.49669674125369884,0.048658972402274715,0.45951535473863636,0.3810822453045661,0.5313815397432614,96.23243030213322
paper_a_trust6_mechanism,PE-UB,30,21592,0.5106797867740682,1136.31904729353,20076.072179332154,0.05515615990031601,0.5826495166489369,0.0437359702619642,0.5245884860559515,0.45969698590585223,0.5839079790756925,97.44789985972058
paper_a_trust6_mechanism,SI-TRU,10,11571,0.2889477245767534,305.10174103738547,9402.633913872281,0.03149136122385116,0.41215903387041347,0.05765406804224986,0.3903043529587815,0.2905410180763967,0.4816734600077537,97.05016432571023
paper_a_trust6_mechanism,SI-UB,23,18993,0.39432625919128084,917.0242295305538,17362.40636229127,0.05154954969113164,0.48814862629348377,0.04821318332534164,0.45274578561625267,0.3745032654337903,0.5245862746391124,97.60093579956309
paper_a_trust6_mechanism,TRU-UB,9,11350,0.4435937808681949,346.2160126812523,9139.9780976772945,0.03700402879162279,0.5269995430417199,0.06548339168157102,0.4830841874767565,0.3787950524944666,0.5752585218383165,97.68930387186762
