route,pair,k,total_n,fixed_z,q,c_val,tau2,pooled_z,se_z,pooled_r,ci_low,ci_high,i2
paper_a_trust6_mechanism,BI-EE,54,31513,0.63052712581945,1637.9197890687974,30210.655034927117,0.05246227820073551,0.6054141990813249,0.03191738839935322,0.5408909834705796,0.49514689608973667,0.5836444696545532,96.7641883104586
paper_a_trust6_mechanism,BI-PE,57,32449,0.7670568897615831,4743.627750015763,31161.034140900923,0.1504323549988651,0.7123143026316103,0.05181736649639907,0.6121260206645366,0.5446564202612146,0.6717230922088029,98.81946891806984
paper_a_trust6_mechanism,BI-SI,39,26320,0.6067484827685331,1636.8964361726894,24911.548524978054,0.06418294047716562,0.6136514162916974,0.04127505059907104,0.5466923165600497,0.4874821639365652,0.6008973781574573,97.67853364695144
paper_a_trust6_mechanism,BI-TRU,12,12657,0.4678882049277045,709.9825961845058,10613.44616115997,0.06585821283405957,0.6297136358499799,0.07512386476845517,0.557855000073909,0.448220256834747,0.6509562931116312,98.45066624743835
paper_a_trust6_mechanism,BI-UB,31,22341,0.6898057197167005,1664.2531772472798,20839.69048903272,0.078420223088598,0.7547745419368405,0.0510081056746578,0.6379887429753964,0.5748915268105165,0.693543064064487,98.19738965139783
paper_a_trust6_mechanism,EE-PE,58,33721,0.6131009953428577,2241.5210452336187,32444.492622291113,0.06733102812440762,0.603621140642942,0.03469615401051681,0.5396212776261181,0.48966279113182326,0.5860481849913788,97.45708387966265
paper_a_trust6_mechanism,EE-SI,33,23718,0.45030497198535396,1448.8502777406575,22251.38634150472,0.06367469675801085,0.436500063925477,0.044637159996776456,0.4107391570076774,0.33549836101618385,0.4807727825871289,97.79135218513392
paper_a_trust6_mechanism,EE-TRU,10,11675,0.31289640905148364,465.0671153985371,9516.353628166595,0.04792456577576786,0.4955839300715592,0.07047994278540178,0.45863706973898966,0.3429599875770476,0.5606115729603681,98.06479544521494
paper_a_trust6_mechanism,EE-UB,30,21740,0.4718191039339736,1008.0991405912142,20227.8384295612,0.04840354761586128,0.5431748229637242,0.04107138363422814,0.4953874261862278,0.4322618272467747,0.5536814089938324,97.1232988073978
paper_a_trust6_mechanism,PE-SI,35,24422,0.5605392061709165,2463.374732862054,22977.247686803472,0.10572957936373369,0.49565731468275726,0.055518563702396044,0.4586950160964003,0.36863363042948394,0.5402253009072582,98.61977962400802
paper_a_trust6_mechanism,PE-TRU,12,12328,0.40123413891227916,313.3263210214935,10258.254799869834,0.02947151605410793,0.4945970230485794,0.05117384360153598,0.4578574039480476,0.37505810036137577,0.5334089797982469,96.48928313327197
paper_a_trust6_mechanism,PE-UB,29,21237,0.5077466088325041,1125.2036910472555,19706.19877068558,0.05567809925267914,0.5791249985827327,0.044677526055760974,0.5220291695928341,0.45545136733620667,0.5828003014204158,97.51156166454274
paper_a_trust6_mechanism,SI-TRU,9,11216,0.28333744657010734,293.5549630331009,8994.435785146125,0.031747957276506554,0.40630121619204257,0.06090038650316316,0.38532757887805674,0.2793126989546919,0.4820611752397435,97.27478632371208
paper_a_trust6_mechanism,SI-UB,22,18638,0.3889850929020393,888.5402182250101,16987.480615981047,0.05106938679352298,0.47972984234479676,0.049055655129143116,0.44602722391366817,0.365813106323353,0.519663698910085,97.63657293510579
paper_a_trust6_mechanism,TRU-UB,8,10995,0.44259531184112483,345.86418155890374,8729.230516817064,0.0388194790945289,0.5334726313884396,0.07093875576468409,0.4880311106928884,0.3751752904152934,0.5866302334885439,97.97608414712124
