route,pair,k,total_n,fixed_z,q,c_val,tau2,pooled_z,se_z,pooled_r,ci_low,ci_high,i2
paper_a_core7_att_mediation,ATT-BI,31,14104,0.8022453592882659,1403.8683692625514,13442.328027978017,0.10220464538605724,0.8283574298518029,0.05815823323685833,0.6795930379955496,0.6134081458871118,0.7362989780499283,97.86304751521976
paper_a_core7_att_mediation,ATT-EE,27,12493,0.5432398001955909,737.7227456250962,11828.75797615211,0.06016884841671427,0.5508154746345064,0.048222690917486995,0.5011311432320176,0.42706299952283944,0.5685190790936374,96.47564072625015
paper_a_core7_att_mediation,ATT-FC,11,5740,0.5069835289896474,230.45316040259388,5002.877168389697,0.04406527543700465,0.519097180202215,0.06498127233553586,0.47700291295894426,0.3728540334127313,0.5692823591424178,95.66072342747206
paper_a_core7_att_mediation,ATT-PE,28,12940,0.6427886576531167,1308.0961903783805,12277.42314872433,0.10434569004095058,0.6911476649298917,0.061805657658755925,0.598718774606118,0.5153655761755784,0.6708498140684753,97.93593160819542
paper_a_core7_att_mediation,ATT-SI,13,7190,0.4936327957589119,766.0560743203912,6435.385260802685,0.11717341600560802,0.5714041523694311,0.09586211413365563,0.5163897478983992,0.3657556341598282,0.6406608633318229,98.43353503715171
paper_a_core7_att_mediation,ATT-UB,14,7027,0.6637798298646471,795.2269183201371,6292.3584824624195,0.12431378798590388,0.7589617701712267,0.09525199443053688,0.6404650156271104,0.5170228589244749,0.7378099570554602,98.36524648493267
paper_a_core7_att_mediation,BI-EE,55,31868,0.6289498409969932,1644.9445143353503,30571.408068637036,0.05204027602403723,0.6032921051039415,0.03150581577917018,0.5393880129065131,0.49415333795716515,0.581710053152825,96.7172144999785
paper_a_core7_att_mediation,BI-FC,37,25374,0.593793063017187,1076.612607685219,23951.267466254998,0.04344707891352058,0.5610990852138008,0.035103000442125554,0.5087924536217474,0.4560377912417302,0.5579840192398529,96.65617885736985
paper_a_core7_att_mediation,BI-PE,58,32804,0.7673156525527428,4743.828097863645,31521.286300950047,0.1486877170276641,0.7136611168429322,0.051075733044597074,0.6129674916930147,0.5466230861458384,0.6716644843771213,98.79843875401663
paper_a_core7_att_mediation,BI-SI,40,26675,0.6084460196835956,1642.5927395843053,25276.00143099228,0.06344329200812804,0.6166376045741447,0.040532737815124155,0.5487825966676931,0.49086056592109806,0.601874831185822,97.62570483479249
paper_a_core7_att_mediation,BI-UB,32,22696,0.6975173984260831,1749.2014604352453,21208.14274336283,0.08101612108268948,0.7681691008752025,0.05101221537614008,0.6458635537092196,0.5837848155283706,0.7004345234006092,98.22776274196076
paper_a_core7_att_mediation,EE-FC,35,24104,0.7105581193818,1850.6039489363013,22657.63231801325,0.08017624804918679,0.6434886649334237,0.04850412864786847,0.5672702629794286,0.49933552729179814,0.6282723962806438,98.16276194484819
paper_a_core7_att_mediation,EE-PE,59,34076,0.6129496535705351,2241.5950424773478,32804.28573114251,0.06656432212466579,0.6035299336295945,0.03421286809614412,0.5395566261036465,0.49031330085630004,0.5853659799863337,97.41255673299938
paper_a_core7_att_mediation,EE-SI,34,24073,0.4483995293227801,1454.6900614754713,22618.300029201953,0.06285574334233611,0.4331247946682107,0.04370852866240766,0.4079294335318371,0.33411753641080716,0.47676830405581516,97.73147553049695
paper_a_core7_att_mediation,EE-UB,31,22095,0.471010395609848,1008.9841771776155,20596.95945823107,0.04753051920905677,0.5392387862954036,0.04006147460980885,0.49241153996498166,0.4306694615945348,0.5495659807310691,97.02671254132869
paper_a_core7_att_mediation,FC-PE,35,23950,0.5233144292732496,1162.0837860767008,22500.613881316836,0.05013568927616655,0.5101655560418127,0.03866319128354261,0.4700741821366415,0.40897997614188697,0.5269732412107442,97.07422129046417
paper_a_core7_att_mediation,FC-SI,29,21633,0.4479393245852728,1237.2071967107108,20103.64568829481,0.06014865241157539,0.44530380303850037,0.046313005592474504,0.4180310904287376,0.34038711774115404,0.49001288581296965,97.7368382535729
paper_a_core7_att_mediation,FC-UB,23,18629,0.4263098711457157,1402.5521327853774,16987.73405172414,0.08126758569341158,0.5219360515215588,0.060166294830914534,0.4791928794107841,0.3833749327283747,0.564805575683701,98.43143085481539
paper_a_core7_att_mediation,PE-SI,36,24777,0.5591557466577425,2466.6364912240033,23343.341846041592,0.10416831091544607,0.49477218736763395,0.05434931209457736,0.45799583687115336,0.36984846082100603,0.5379717260738421,98.58106372282556
paper_a_core7_att_mediation,PE-UB,30,21592,0.5106797867740682,1136.31904729353,20076.072179332154,0.05515615990031601,0.5826495166489369,0.0437359702619642,0.5245884860559515,0.45969698590585223,0.5839079790756925,97.44789985972058
paper_a_core7_att_mediation,SI-UB,23,18993,0.39432625919128084,917.0242295305538,17362.40636229127,0.05154954969113164,0.48814862629348377,0.04821318332534164,0.45274578561625267,0.3745032654337903,0.5245862746391124,97.60093579956309
