"model_family","route","complete_case_k","effective_sample_size","chisq","df","p","CFI","TLI","RMSEA","RMSEA_low","RMSEA_high","SRMR","AIC","BIC"
"Core7 ATT mediation","paper_a_core7_att_mediation",4,3172,6.146068230551,5,0.292264248522837,0.998954812099836,0.99561021081931,0.00850201983366504,0,0.0272077455324969,0.0434212863673674,-3.853931769449,-34.1645196832227
"Trust6 trust mechanism","paper_a_trust6_mechanism",7,10315,8.95695924483949,4,0.0621843448694528,0.996132571149242,0.985497141809656,0.0109613517607505,0,0.020731489744494,0.0398791860222943,0.956959244839492,-28.0084584571819
